record_id,first_name,last_name,gender,date_of_birth,address,city,county,ssn,phone_number,email
1,Astrid,Dinu,F,1972-08-13,Strada Camelia Diaconu Nr. 44,Sector 6,Argeș,8250624449719,4291234917,astrid.dinu@gmail.com
2,Gicu,Ionescu,M,1965-08-27,Soseaua Barbu Nr. 298,Sector 6,Prahova,8961116294271,8611055435,ionescu.gicu@yahoo.com
3,Beatrice,Barbu,F,1978-03-12,Strada Marcela Eftimie Nr. 91,Sector 6,Covasna,7220423015846,3826839014,bbarbu@yahoo.com
4,Maricica,Mazilescu,F,1964-03-04,Aleea Ardelean,Sector 6,Harghita,5740621362871,0598813380,mmazilescu@yahoo.com
5,Antonela,Preda,F,1946-05-23,Bulevardul Ionescu Nr. 47 Bl. 45  Sc. 55 Ap. 779,Sector 6,Vaslui,1431011328186,1366853961,antonelapreda@gmail.com
6,Julieta,Stănescu,F,1943-02-26,Aleea Eftimie,Sector 6,Prahova,5500112204192,0623643343,julietastănescu@hotmail.com
7,Georgia,Tomescu,F,1951-03-12,Aleea Nistor,Sector 6,Harghita,5520816316879,4650524186,georgiat@hotmail.com
8,Iurie,Nistor,M,1996-11-10,Intrarea Aanei Nr. 274 Bl. 51  Sc. 74 Ap. 409,Sector 6,Satu Mare,7510927073901,3045900827,iurie.nistor@yahoo.com
9,Aureliana,Niță,F,1980-02-28,Soseaua Tomescu Nr. 92 Bl. 33  Sc. 66 Ap. 300,Sector 6,Brăila,5820831020587,7124676815,aureliananiță@yahoo.com
10,Ecaterina,Georgescu,F,1997-09-16,Strada Ene,Sector 6,Harghita,3870924064501,8200015626,ecaterina.georgescu@yahoo.com
11,Cezara,Cristea,F,1938-02-05,Bulevardul Vladimir Stoica Nr. 99 Bl. 57  Sc. 40 Ap. 204,Sector 6,Buzău,6590805407457,3735190450,cezara.cristea@protonmail.com
12,Aurel,Marin,M,1986-05-19,Drumul Grigore Nistor Nr. 168 Bl. 67  Sc. 45 Ap. 268,Sector 6,Vrancea,4361030292845,2852444822,amarin@hotmail.com
13,Oana,Stănescu,F,1994-07-11,Intrarea Stanca Ionescu Nr. 62,Sector 6,Neamț,5990925274259,6302865718,oanas@gmail.com
14,Rafila,Dobre,F,1997-04-15,Soseaua Stancu Nr. 22,Sector 6,Covasna,1070120453055,6415442025,rafiladobre@gmail.com
15,Augustin,Preda,M,1961-07-10,Strada Dinu Nr. 36,Sector 6,Tulcea,1611015460190,0583817269,apreda@hotmail.com
16,Rada,Dinu,F,1973-12-22,Strada Georgescu Nr. 682,Sector 6,Suceava,4400216015172,4558012276,radad@hotmail.com
17,Adela,Suciu,F,2005-06-23,Bulevardul Tudosia Cristea Nr. 34 Bl. 27  Sc. 92 Ap. 440,Sector 6,Dolj,7470601050103,3167758554,asuciu@outlook.com
18,Măriuca,Mazilescu,F,1963-10-06,Strada Tomescu,Sector 6,Suceava,4471226134456,0486672476,măriuca.mazilescu@yahoo.com
19,Emil,Nistor,M,1957-02-22,Intrarea Georgescu,Sector 6,Maramureș,3450317437811,6377795305,emil.nistor@yahoo.com
20,Petru,Dima,M,1958-06-15,Drumul Voinea,Sector 6,Sibiu,4080501467500,4853382727,petrud@protonmail.com
21,Bianca,Eftimie,F,2006-07-13,Strada Popa Nr. 29,Sector 6,Prahova,8131208100780,9459882094,bianca.eftimie@outlook.com
22,Aglaia,Florea,F,1979-10-25,Bulevardul Florea Nr. 86,Sector 6,Brașov,4440327208238,5964618415,aglaiaf@outlook.com
23,Arsenie,Preda,M,1950-03-31,Intrarea Amalia Cristea,Sector 6,Olt,4690121039531,7090130452,arsenie.preda@protonmail.com
24,Mihail,Preda,M,1966-01-04,Soseaua Cristea Nr. 884 Bl. 66  Sc. 83 Ap. 162,Sector 6,Bistrița-Năsăud,2130705097854,2886978583,mihailpreda@gmail.com
25,Cătălina,Diaconescu,F,1981-05-12,Soseaua Angela Dochioiu Nr. 14,Sector 6,Ilfov,3060820310129,6533824986,cătălinadiaconescu@hotmail.com
